employee_id,absence_start,absence_end,absence_reason,absence_type
E027,2023-05-08,2023-05-18,Urlaub,geplante Abwesenheit
E020,2023-10-14,2023-10-19,unentschuldigtes Fehlen,unerwartete Abwesenheit
E005,2023-04-28,2023-05-07,Urlaub,geplante Abwesenheit
E018,2023-11-11,2023-11-25,Urlaub,geplante Abwesenheit
E038,2023-05-10,2023-05-13,Krankheit,unerwartete Abwesenheit
E006,2023-05-20,2023-05-29,Urlaub,geplante Abwesenheit
E010,2023-10-02,2023-10-11,Urlaub,geplante Abwesenheit
E003,2023-05-03,2023-05-07,Krankheit,unerwartete Abwesenheit
E026,2023-07-13,2023-07-19,Urlaub,geplante Abwesenheit
E019,2023-10-19,2023-10-23,unentschuldigtes Fehlen,unerwartete Abwesenheit
E001,2023-01-29,2023-02-04,unentschuldigtes Fehlen,unerwartete Abwesenheit
E021,2023-05-04,2023-05-08,unentschuldigtes Fehlen,unerwartete Abwesenheit
E025,2023-01-13,2023-01-18,Urlaub,geplante Abwesenheit
E026,2023-01-25,2023-02-01,Krankheit,unerwartete Abwesenheit
E046,2023-02-13,2023-02-27,Urlaub,geplante Abwesenheit
E036,2023-01-17,2023-01-22,Urlaub,geplante Abwesenheit
E043,2023-12-30,2023-12-31,Krankheit,unerwartete Abwesenheit
E040,2023-02-12,2023-02-22,Urlaub,geplante Abwesenheit
E023,2023-08-31,2023-09-06,Krankheit,unerwartete Abwesenheit
E046,2023-06-18,2023-06-23,unentschuldigtes Fehlen,unerwartete Abwesenheit
E050,2023-05-10,2023-05-20,Urlaub,geplante Abwesenheit
E005,2023-08-27,2023-09-05,Urlaub,geplante Abwesenheit
E023,2023-07-22,2023-08-05,Urlaub,geplante Abwesenheit
E024,2023-04-14,2023-04-19,unentschuldigtes Fehlen,unerwartete Abwesenheit
E004,2023-10-23,2023-10-28,Urlaub,geplante Abwesenheit
E012,2023-10-30,2023-11-06,Urlaub,geplante Abwesenheit
E049,2023-05-02,2023-05-04,unentschuldigtes Fehlen,unerwartete Abwesenheit
E042,2023-08-11,2023-08-17,unentschuldigtes Fehlen,unerwartete Abwesenheit
E004,2023-02-24,2023-03-01,Urlaub,geplante Abwesenheit
E022,2023-08-23,2023-08-30,Krankheit,unerwartete Abwesenheit
E029,2023-11-26,2023-12-01,Urlaub,geplante Abwesenheit
E004,2023-12-30,2023-12-31,unentschuldigtes Fehlen,unerwartete Abwesenheit
E036,2023-05-26,2023-05-31,Urlaub,geplante Abwesenheit
E050,2023-02-21,2023-02-26,Krankheit,unerwartete Abwesenheit
E045,2023-04-08,2023-04-17,Urlaub,geplante Abwesenheit
E048,2023-11-08,2023-11-14,Urlaub,geplante Abwesenheit
E029,2023-02-28,2023-03-05,Urlaub,geplante Abwesenheit
E009,2023-06-07,2023-06-10,unentschuldigtes Fehlen,unerwartete Abwesenheit
E040,2023-03-17,2023-03-27,Urlaub,geplante Abwesenheit
E038,2023-01-10,2023-01-15,Urlaub,geplante Abwesenheit
E028,2023-03-25,2023-04-07,Urlaub,geplante Abwesenheit
E038,2023-08-03,2023-08-09,Urlaub,geplante Abwesenheit
E024,2023-06-13,2023-06-18,Urlaub,geplante Abwesenheit
